"restaurant_id","restaurant_name","restaurant_type","area","dine_rating","dine_reviews","delivery_rating","delivery_reviews","cost_for_two","liked"
"3228","Zaikedaar","Quick Bites","Viman Nagar","3.7","66","3.1","226","400",""
"3229","Reddy's Fast Food","Quick Bites","Viman Nagar","2.7","7","3.5","227","550",""
"3230","Kokan Spice Family Restaurant","Quick Bites","Kothrud","3.6","15","0.0","0","700",""
"3231","The Chinese Chef Co.","","Viman Nagar","0.0","0","0.0","0","300",""
"3232","Relax Point","Casual Dining","Chandan Nagar","3.3","31","3.8","523","600",""
"3233","Khada Masala","","Kothrud","0.0","0","0.0","0","500",""
"3234","Dhokla House Sweets And Namkeen","Sweet Shop","Bibvewadi","3.8","346","0.0","0","200",""
"3235","Reddy's Biryani Zone","Casual Dining","Pimple Nilakh","3.8","639","3.9","8850","800","Mutton Biryani, Chicken Biryani, Hyderabadi Biryani, Tandoori Chicken, Plain Rice, Tikka Biryani, Raita"
"3236","Oya Kekars","Bakery","Pimple Saudagar","3.9","28","0.0","0","400",""
"3237","Cafe Chokolade","Café,Dessert Parlor","Satara Road","2.7","22","3.8","74","450",""
"3238","Signature Fine Dining","Casual Dining,Bar","Viman Nagar","3.9","185","4.0","816","1300","Sea Food, Roti, Butter Chicken, Jalapeno Poppers, Chicken Biryani, Cocktails"
"3239","SK'S Katthi Kabab Rolls","Casual Dining","Nigdi","3.9","385","3.9","4224","650","Rolls, Biryani, Pasta, Kathi Roll, Salad, Chicken Tikka Roll, Sandwich"
"3240","Hotel Lijjat","","Lohegaon","3.9","58","0.0","0","500",""
"3241","Hotel Arab Zaika","","Lohegaon","3.6","233","0.0","0","500",""
"3242","Gurunanak Dairy And Sweets","Sweet Shop","Kalyani Nagar","4.0","2222","0.0","0","200","Lassi, Dahi Vada, Rasmalai, Tea, Samosa, Dhokla, Chaach"
"3243","Cafe Chokolade","Café,Dessert Parlor","Satara Road","2.7","22","3.8","74","450",""
"3244","Cafe Chokolade","Café,Dessert Parlor","Bibvewadi","2.6","56","3.8","386","300",""
"3245","Cafe Chokolade","Café,Dessert Parlor","Katraj","3.4","151","4.1","1371","450","Chocolate Sandwich, Thick Shakes, Belgium Chocolate, Brownie Chocolate"
"3246","Cafe Chokolade","Beverage Shop","Pimpri","3.3","57","4.2","241","350","Chocolate Shake"
"3247","Cafe Chokolade","Café,Dessert Parlor","Kalyani Nagar","2.7","82","3.9","55","450","Brownie"
"3248","Cafe Chokolade","Café,Dessert Parlor","MG Road","2.7","84","3.9","67","450","Chocolate Shake"
"3249","Cafe Chokolade","Café,Dessert Parlor","Aundh","2.6","91","3.8","256","450",""
"3250","Cafe Chokolade","Dessert Parlor","Sinhgad Road","3.3","70","4.0","1869","450",""
"3251","Cafe Chokolade","Café,Dessert Parlor","Kothrud","3.1","4","3.6","53","450",""
"3252","Cafe Chokolade","Quick Bites,Dessert Parlor","Wakad","3.2","94","3.8","1188","350",""
"3253","Cafe Chokolade","Café,Dessert Parlor","Wanowrie","3.1","54","4.5","294","450","Belgian Chocolate"
"3254","Cafe Chokolade","Café,Dessert Parlor","Rainbow Plaza, Pimple Saudagar","3.5","165","3.9","1187","450","Brownie, Chocolate Shake, Thick Shakes, Lava Cake, Chocolate Sandwich"
"3255","Cafe Chokolade","Café,Dessert Parlor","Lohegaon","3.0","27","3.9","443","450",""
"3256","Cafe Chokolade","Dessert Parlor","Hadapsar","3.1","5","0.0","0","400",""
"3257","Cafe Chokolade","Café,Dessert Parlor","Amanora Town Centre, Hadapsar","3.1","39","3.6","117","450",""
"3258","Healthy Fit Foodworks","","Viman Nagar","0.0","0","0.0","0","500",""
"3259","Cheezy","Quick Bites","Chandan Nagar","3.7","80","0.0","0","450","Pizza, Burgers, Garlic Bread, Chocolava, Bruschettas"
"3260","The Bengal Kitchen","Casual Dining","Pimple Saudagar","4.1","417","4.0","3787","500","Chicken Biryani, Fish Fry, Fish Finger, Rolls, Mutton Biryani, Fish Curry, Paratha"
"3261","Khandesh Gavran Express","","Dhankawadi","4.0","317","0.0","0","200",""
"3262","Frozen Shakes","Beverage Shop","Karve Nagar","3.4","11","3.6","32","300",""
"3263","Cafe Diamond Queen","Quick Bites","Camp Area","3.9","206","0.0","0","650","Tea, Bun Maskas, Biryani, Irani Chai, Roasted Mutton, Butter Chicken, Mutton Chops"
"3264","Ganesh Bhel","Casual Dining","FC Road","3.5","151","4.1","4579","550","Chaat, Dahipuri, Ragda Puri, Sev Puri, Pav Bhaji, Ragda Patty"
"3265","Fat Cat's Cafe","Bakery,Quick Bites","Wanowrie","4.2","358","4.3","253","800","Red Velvet Cake, Cheesecake, Brownie, Bacon Jam, Rolls, Bbq Chicken Sandwich, Chocolate Pastry"
"3266","Ahling","Casual Dining","Dhole Patil Road","4.1","271","4.0","680","800","Peking Chicken, Salad, Spring Roll, Apple Chicken, Pepper Chicken, Clear Soup, Burnt Garlic Rice"
"3267","The Sindhi Rasoi","","Chandan Nagar","3.8","472","0.0","0","200",""
"3268","Agra Restaurant","Casual Dining","Kondhwa","4.0","550","3.7","3000","750","Tandoori Chicken, Paratha, Chicken Biryani, Dal Tadka, Rumali Roti, Shahi Tukda"
"3269","Sudama's Misal House","Quick Bites","Sinhgad Road","3.8","286","4.0","3253","200","Buttermilk, Misal Pav, Thali, Kolhapuri Misal, Dal Kichadi"
"3270","Hyderabad Dum Biryani","Quick Bites","Hinjawadi","3.7","387","3.0","2878","400","Hyderabadi Dum Biryani, Chicken Dum Biryani, Vegetable Biryani"
"3271","Shrivastav Rasoi","","Karve Nagar","2.6","550","0.0","0","200",""
"3272","Shambhavi Bhojanalaya","Quick Bites","Kothrud","4.0","187","3.8","7272","300","Veg Thali, Dal Makhani, Gulab Jamun"
"3273","The Flavours","Bakery","Wakad","3.8","46","0.0","0","400","Red Velvet Cake"
"3274","Chicks N Chips","Food Truck","Bavdhan","3.8","35","0.0","0","300",""
"3275","Chandra Cafe","Quick Bites","Kothrud","4.0","1183","4.1","337","450","Rolls, Chicken Roll, Chicken Lollipop, Chicken Thali, Egg Roll, Noodle, Paratha"
"3276","Rajveer Pure Veg","Casual Dining","Katraj","3.7","140","3.6","6026","650",""
"3277","FoodGinie","Quick Bites","Hadapsar","4.1","410","4.0","6222","200","Dal Makhani, Thali, Moong Dal Halwa, Samosa, Kadhi Chawal"
"3278","Cafe Coffee Hutt","Café","Wakad","3.7","197","3.9","4236","400","Burgers, Sandwich, Hot Coffee, Chicken Burger, Chicken Wrap, Chocolate Shake, Pasta"
"3279","Degchi Biryani","Quick Bites","Chandan Nagar","3.6","26","3.8","77","250",""
"3280","Gavkari","Quick Bites","Kothrud","3.9","211","3.8","1512","500","Pandhra Rassa, Chicken Thali, Chicken Sukha, Egg Curry, Biryani, Mutton Thali, Mutton Sukha"
"3281","Bombay Sandwich & Pizza","Quick Bites","Pimpri","4.1","180","4.2","968","350","Sandwich, Paneer Tikka, Soya Tikka, Malai Soya Chaap, Pizza, Masala Chaap, Garlic Bread"
